,昨日(20231227)累積雨量
基隆,2.0
三和,2.5
坪林,0.0
東澳,0.0
東澳嶺,0.0
金崙,0.0
桶後,0.5
巴陵,1.0
池端,0.5
南山、松茂,2.0
德基、梨山,2.5
慈恩,3.5
廬山,0.0
廬山、合歡山,5.5
阿里山,0.0
甲仙,
向陽,10.5
神木村,0.0
那瑪夏國中,
加路蘭山,1.5
豐濱,2.0
