,昨日(20231206)累積雨量
基隆,2.5
三和,3.5
坪林,6.5
東澳,3.0
東澳嶺,10.0
金崙,0.5
桶後,4.5
巴陵,2.0
池端,2.0
南山、松茂,7.0
德基、梨山,9.5
慈恩,6.5
廬山,7.0
廬山、合歡山,16.5
阿里山,1.0
甲仙,0.0
向陽,0.0
神木村,1.5
那瑪夏國中,0.0
加路蘭山,11.0
豐濱,7.0
