,昨日(20231205)累積雨量
基隆,0.0
三和,12.0
坪林,2.0
東澳,4.0
東澳嶺,13.5
金崙,1.5
桶後,4.5
巴陵,0.5
池端,2.0
南山、松茂,3.5
德基、梨山,3.5
慈恩,5.0
廬山,2.5
廬山、合歡山,19.0
阿里山,3.0
甲仙,0.0
向陽,1.0
神木村,2.5
那瑪夏國中,0.0
加路蘭山,15.0
豐濱,13.0
