,昨日(20231202)累積雨量
基隆,13.5
三和,19.0
坪林,2.5
東澳,3.5
東澳嶺,18.0
金崙,0.0
桶後,2.0
巴陵,0.0
池端,3.0
南山、松茂,1.5
德基、梨山,1.0
慈恩,1.0
廬山,0.5
廬山、合歡山,5.0
阿里山,0.0
甲仙,0.0
向陽,0.0
神木村,0.0
那瑪夏國中,0.0
加路蘭山,0.5
豐濱,0.5
