,昨日(20231129)累積雨量
基隆,0.0
三和,0.0
坪林,0.0
東澳,0.0
東澳嶺,0.0
金崙,0.0
桶後,0.0
巴陵,2.0
池端,0.0
南山、松茂,1.5
德基、梨山,2.0
慈恩,1.0
廬山,3.0
廬山、合歡山,19.0
阿里山,0.0
甲仙,0.0
向陽,0.0
神木村,0.0
那瑪夏國中,0.0
加路蘭山,0.0
豐濱,0.0
