,昨日(20231204)累積雨量
基隆,70.0
三和,94.0
坪林,42.0
東澳,8.0
東澳嶺,15.5
金崙,0.0
桶後,40.0
巴陵,40.0
池端,23.5
南山、松茂,21.0
德基、梨山,32.0
慈恩,23.0
廬山,7.0
廬山、合歡山,49.5
阿里山,19.5
甲仙,0.0
向陽,1.5
神木村,21.0
那瑪夏國中,0.0
加路蘭山,8.5
豐濱,6.5
