,昨日(20231219)累積雨量
基隆,4.0
三和,48.0
坪林,1.0
東澳,2.5
東澳嶺,5.0
金崙,2.5
桶後,4.5
巴陵,0.0
池端,1.5
南山、松茂,3.5
德基、梨山,5.0
慈恩,4.0
廬山,5.0
廬山、合歡山,5.5
阿里山,1.5
甲仙,1.0
向陽,1.0
神木村,1.0
那瑪夏國中,0.0
加路蘭山,20.5
豐濱,11.0
