,昨日(20231130)累積雨量
基隆,35.5
三和,71.5
坪林,9.5
東澳,33.5
東澳嶺,102.5
金崙,0.0
桶後,13.0
巴陵,1.5
池端,15.5
南山、松茂,9.5
德基、梨山,18.5
慈恩,6.5
廬山,2.0
廬山、合歡山,16.0
阿里山,0.5
甲仙,0.0
向陽,0.0
神木村,1.0
那瑪夏國中,0.0
加路蘭山,3.0
豐濱,1.5
