,昨日(20231228)累積雨量
基隆,12.0
三和,5.5
坪林,12.5
東澳,12.5
東澳嶺,16.5
金崙,0.0
桶後,18.0
巴陵,14.5
池端,14.5
南山、松茂,38.5
德基、梨山,43.0
慈恩,33.5
廬山,50.5
廬山、合歡山,84.0
阿里山,42.0
甲仙,
向陽,19.5
神木村,40.0
那瑪夏國中,0.5
加路蘭山,19.0
豐濱,21.0
